"ASN","abuser_score","abuser_rank","active","type","Entity"
"57345","0","Very Low","False","","ADM-HOST di Ratti Alessandro"
"57669","0","Very Low","False","","DediPower Managed Hosting Limited"
"57751","0","Very Low","False","","KR | DRK-ALLIANCE-AS DRK-Alliance Ltd.,RU"
"57756","0","Very Low","False","","RU | POLY-NET-AS PE Gaftkovich Irina Valer_evna"
"57880","0","Very Low","False","","GB | PROPER-SUPPORT-LLP, GB"
"57972","0","Very Low","False","","EE | JINGYUN, EE"
"58018","0","Very Low","False","","IL | Netstyle A. Ltd"
"58110","0","Very Low","False","","IP Volume LTD"
"58113","0","Very Low","False","","LIR DATACENTER TELECOM SRL"
"58366","0","Very Low","False","","BG | BGONLINE Bulgaria On Line,BG"
"58667","0","Very Low","False","","SmartNet Hosting and connectivity"
"58797","0","Very Low","False","","Carpathia Hosting"
"58827","0","Very Low","False","","CN | Jilin Gosun Technology Co. Ltd"
"58936","0","Very Low","False","","Managed Hosted Applications Limited"
"58964","0","Very Low","False","","IN | IGIGLE HOST"
"58969","0","Very Low","False","","Kerala Communicators Cable Limited"
"59164","0","Very Low","False","","Apollo Online Services Pvt ltd"
"59344","0","Very Low","False","","JP | SHENZHEN-WETRANS Shenzhen-WETRANS,HK"
"59384","0","Very Low","False","","NL | CHINANET-LIAONING-SHENYANG-MAN CHINANET Liaoning province network,CN"
"59749","0","Very Low","False","","UA | CLEANMAT, BG"
"59764","0","Very Low","False","","ATLANTIC-NET, GB"
"59791","0","Very Low","False","","Linqhost B.V."
"59854","0","Very Low","False","","Top Level Hosting SRL"
"60371","0","Very Low","False","","MT | HPSDEDICATED Int Gambling Ltd,MT"
"60394","0","Very Low","False","","US | MINOTAVAR-AS Minotavar Computers EOOD,BG"
"60505","0","Very Low","False","","TELENET-SLJUDJANKA-AS, RU"
"60739","0","Very Low","False","","Server Centre Hosting Ltd"
"61107","0","Very Low","False","","UNIVERSAL CDN (CYPRUS) LTD"
"61422","0","Very Low","False","","RU | TD-VITA-NET TD-VITA LLC."
"61440","0","Very Low","False","","Digital Energy Technologies Chile SpA, CL"
"62049","0","Very Low","False","","Penta Corporate Hosting Ltd"
