"ASN","abuser_score","abuser_rank","active","type","Entity"
"10207","0","Very Low","True","hosting","Intervolve Pty Ltd"
"10297","0.0001","Very Low","True","hosting","eNET Inc."
"10439","0.0016","Low","True","hosting","CariNet, Inc."
"10462","0","Very Low","False","","US | Shadow Infromation Services"
"10532","0","Very Low","False","","Rackspace Hosting"
"10704","0.0001","Very Low","True","isp","ML Telecom"
"10737","0","Very Low","True","isp","CellularONE"
"10741","0","Very Low","False","","CA | WAMNET - Wam Net Enterprises Inc.,US"
"10765","0","Very Low","False","","CLOUDNET-AS - CloudNet, US"
"10908","0","Very Low","True","hosting","CloudfloorDNS"
"10929","0.0001","Very Low","True","hosting","eStruxture Data Centers Inc."
"10963","0","Very Low","True","business","PROTERRA, Inc."
"11029","0","Very Low","True","business","NetVata, LLC"
"11114","0.0001","Very Low","True","isp","Wintek Corporation"
"11230","0","Very Low","True","hosting","Managed Hosting Services, LLC"
"11235","0","Very Low","True","business","Itron-Hosting"
"11274","0","Very Low","False","","Adhost Internet Advertising, LLC"
"11282","0","Very Low","False","","SERVERYOU - SERVERYOU INC, US"
"11588","0","Very Low","False","","HIGHWINDS - Highwinds Network Group, Inc., US"
"11754","0","Very Low","False","","US | ORANGE COUNTY NETWORKS, LLC"
"11831","0.0006","Low","True","hosting","eSecureData"
"11849","0","Very Low","True","business","Camplink"
"11878","0.0021","Low","True","hosting","tzulo, inc."
"11931","0","Very Low","True","government","NYCEDC"
"12364","0.0003","Very Low","True","education","University of Macedonia, Economic and Social Sciences"
"12506","0","Very Low","False","","NL | Inspiring Networks BV"
"12586","0.0002","Very Low","True","hosting","GHOSTnet GmbH"
"12617","0","Very Low","False","","Solido Hosting A/S"
"12679","0","Very Low","True","business","Sokolov Dmitry Nikolaevich"
"12720","0","Very Low","False","","BG | BULGARIAONLINE , BG"
"12876","0.0029","Low","True","isp","SCALEWAY S.A.S."
"12989","0.0044","Low","True","hosting","Black HOST Ltd"
"13209","0.001","Low","True","hosting","Atom Hosting SRL"
"13213","0.0014","Low","True","hosting","UK-2 Limited"
"13332","0.0149","Elevated","True","business","Hype Enterprises"
"13389","0","Very Low","True","business","AZUKI, LLC"
"13537","0","Very Low","False","","US | MEGACOLO - Mega Colocation, Inc., US"
"13557","0","Very Low","False","","US | NETIN - NetIn.com, Inc. Dallas Texas,US"
"13647","0","Very Low","False","","Tranquil Hosting, Inc."
"13739","0.0002","Very Low","True","hosting","Datacenter IP, LLC"
"13798","0","Very Low","True","business","L'Oreal USA"
